40.47	61.00	721.50	78.86	79.75	21.50	78.86
40.22	62.65	734.00	78.63	81.01	21.79	78.63
39.89	64.42	747.99	78.43	82.39	22.22	78.43
39.48	66.27	763.13	78.27	83.88	22.76	78.27
39.02	68.19	779.06	78.16	85.44	23.39	78.16
38.50	70.14	795.44	78.08	87.06	24.08	78.08
37.96	72.10	811.92	78.05	88.72	24.81	78.05
37.40	74.05	828.15	78.07	90.40	25.56	78.07
36.85	75.96	843.79	78.13	92.08	26.29	78.13
36.30	77.81	858.49	78.25	93.74	26.98	78.25
35.78	79.58	871.90	78.41	95.36	27.61	78.41
35.31	81.23	883.67	78.63	96.91	28.15	78.63
34.89	82.74	893.46	78.91	98.38	28.58	78.91
34.55	84.09	900.91	79.24	99.75	28.87	79.24
34.29	85.25	905.69	79.63	101.00	29.00	79.63
34.13	86.24	904.19	80.15	102.10	28.94	80.15
34.07	87.08	893.98	80.85	103.05	28.70	80.85
34.08	87.78	876.48	81.70	103.88	28.30	81.70
34.15	88.34	853.11	82.66	104.61	27.79	82.66
34.27	88.76	825.29	83.70	105.26	27.18	83.70
34.42	89.04	794.43	84.78	105.87	26.51	84.78
34.57	89.18	761.95	85.88	106.44	25.82	85.88
34.73	89.19	729.27	86.96	107.01	25.13	86.96
34.86	89.07	697.80	87.99	107.60	24.46	87.99
34.96	88.81	668.96	88.93	108.23	23.86	88.93
35.00	88.43	644.17	89.75	108.93	23.36	89.75
34.98	87.91	624.84	90.41	109.72	22.97	90.41
34.87	87.27	612.40	90.90	110.63	22.74	90.90
34.66	86.50	608.25	91.16	111.67	22.70	91.16
34.32	85.46	609.54	91.29	112.85	22.83	91.29
33.86	84.05	612.33	91.40	114.14	23.08	91.40
33.28	82.34	616.49	91.48	115.53	23.44	91.48
32.62	80.38	621.84	91.54	117.02	23.89	91.54
31.90	78.25	628.22	91.58	118.60	24.39	91.58
31.13	76.01	635.47	91.59	120.27	24.94	91.59
30.33	73.73	643.44	91.59	122.01	25.51	91.59
29.53	71.46	651.96	91.56	123.81	26.08	91.56
28.75	69.29	660.88	91.51	125.68	26.63	91.51
28.01	67.26	670.03	91.44	127.60	27.13	91.44
27.32	65.46	679.26	91.35	129.57	27.57	91.35
26.72	63.93	688.39	91.24	131.57	27.93	91.24
26.21	62.76	697.28	91.11	133.61	28.18	91.11
25.83	62.00	705.77	90.96	135.67	28.30	90.96
25.52	61.54	714.01	90.79	137.90	28.33	90.79
25.22	61.22	722.31	90.60	140.42	28.30	90.60
24.93	61.01	730.72	90.40	143.18	28.24	90.40
24.65	60.89	739.30	90.19	146.11	28.13	90.19
24.39	60.84	748.09	89.96	149.17	27.99	89.96
24.14	60.84	757.14	89.74	152.30	27.82	89.74
23.90	60.86	766.52	89.51	155.45	27.62	89.51
23.69	60.90	776.27	89.29	158.55	27.39	89.29
23.49	60.91	786.45	89.08	161.57	27.13	89.08
23.31	60.89	797.10	88.88	164.43	26.86	88.88
23.16	60.81	808.28	88.69	167.09	26.58	88.69
23.02	60.65	820.04	88.53	169.49	26.28	88.53
22.91	60.39	832.43	88.39	171.58	25.98	88.39
22.83	60.00	845.51	88.28	173.30	25.67	88.28
22.76	59.53	861.69	88.20	174.73	25.34	88.20
22.69	59.04	883.01	88.13	175.97	24.99	88.13
22.63	58.52	908.98	88.09	177.04	24.61	88.09
22.57	57.98	939.10	88.07	177.94	24.20	88.07
22.52	57.41	972.86	88.06	178.67	23.76	88.06
22.47	56.81	1009.76	88.07	179.23	23.31	88.07
22.43	56.20	1049.31	88.09	179.64	22.83	88.09
22.41	55.56	1091.00	88.13	179.89	22.34	88.13
22.39	54.89	1134.33	88.18	179.99	21.83	88.18
22.39	54.20	1178.81	88.24	179.95	21.30	88.24
22.40	53.49	1223.93	88.31	179.77	20.77	88.31
22.42	52.76	1269.19	88.39	179.45	20.22	88.39
22.46	52.00	1314.09	88.48	179.00	19.67	88.48
