40.47	61.00	721.50	78.86	79.75	21.50	78.86
40.08	62.95	745.35	78.45	81.38	22.19	78.45
39.64	64.91	768.99	78.11	83.03	22.92	78.11
39.16	66.86	792.05	77.82	84.70	23.66	77.82
38.65	68.80	814.19	77.60	86.37	24.42	77.60
38.11	70.72	835.03	77.45	88.04	25.16	77.45
37.57	72.60	854.23	77.37	89.70	25.88	77.37
37.03	74.44	871.43	77.36	91.32	26.56	77.36
36.50	76.22	886.27	77.43	92.91	27.19	77.43
36.00	77.94	898.39	77.58	94.45	27.75	77.58
35.54	79.59	907.43	77.82	95.92	28.22	77.82
35.13	81.16	913.04	78.13	97.33	28.60	78.13
34.77	82.63	914.86	78.54	98.65	28.87	78.54
34.49	84.00	912.53	79.04	99.88	29.00	79.04
34.29	85.25	905.69	79.63	101.00	29.00	79.63
34.18	86.38	894.16	80.32	102.01	28.85	80.32
34.15	87.38	878.44	81.08	102.92	28.56	81.08
34.19	88.24	859.21	81.92	103.75	28.16	81.92
34.27	88.96	837.13	82.80	104.51	27.67	82.80
34.39	89.52	812.88	83.73	105.21	27.11	83.73
34.53	89.92	787.14	84.67	105.88	26.50	84.67
34.68	90.16	760.58	85.62	106.52	25.88	85.62
34.82	90.22	733.87	86.56	107.16	25.25	86.56
34.94	90.10	707.69	87.48	107.80	24.64	87.48
35.02	89.78	682.71	88.35	108.47	24.08	88.35
35.04	89.28	659.60	89.18	109.17	23.58	89.18
35.00	88.57	639.03	89.93	109.93	23.17	89.93
34.88	87.64	621.69	90.59	110.76	22.87	90.59
34.66	86.50	608.25	91.16	111.67	22.70	91.16
34.33	85.14	599.19	91.61	112.68	22.68	91.61
33.91	83.59	594.28	91.96	113.79	22.80	91.96
33.40	81.87	593.10	92.21	115.01	23.03	92.21
32.82	80.03	595.22	92.37	116.33	23.37	92.37
32.17	78.10	600.23	92.45	117.76	23.78	92.45
31.48	76.11	607.71	92.46	119.29	24.27	92.46
30.76	74.09	617.23	92.40	120.94	24.80	92.40
30.01	72.08	628.37	92.29	122.70	25.35	92.29
29.26	70.10	640.72	92.13	124.57	25.92	92.13
28.51	68.20	653.85	91.94	126.55	26.48	91.94
27.78	66.41	667.34	91.72	128.65	27.02	91.72
27.09	64.76	680.77	91.47	130.87	27.51	91.47
26.43	63.28	693.72	91.22	133.21	27.95	91.22
25.83	62.00	705.77	90.96	135.67	28.30	90.96
25.30	60.95	716.61	90.71	138.25	28.56	90.71
24.83	60.13	726.36	90.46	140.93	28.73	90.46
24.42	59.50	735.27	90.22	143.69	28.81	90.22
24.07	59.05	743.57	89.99	146.51	28.81	89.99
23.78	58.76	751.50	89.77	149.37	28.74	89.77
23.53	58.61	759.30	89.56	152.24	28.60	89.56
23.33	58.58	767.21	89.36	155.11	28.40	89.36
23.17	58.65	775.46	89.16	157.95	28.14	89.16
23.04	58.79	784.29	88.98	160.75	27.82	88.98
22.95	59.00	793.94	88.82	163.48	27.46	88.82
22.89	59.24	804.65	88.66	166.12	27.06	88.66
22.85	59.50	816.66	88.52	168.65	26.63	88.52
22.83	59.76	830.20	88.39	171.05	26.16	88.39
22.83	60.00	845.51	88.28	173.30	25.67	88.28
22.84	60.20	862.83	88.18	175.37	25.16	88.18
22.86	60.33	882.40	88.10	177.25	24.64	88.10
22.88	60.38	904.46	88.04	178.91	24.11	88.04
22.91	60.33	929.24	87.99	180.34	23.58	87.99
22.93	60.16	956.98	87.96	181.51	23.06	87.96
22.94	59.85	987.92	87.96	182.39	22.54	87.96
22.94	59.38	1022.30	87.97	182.98	22.04	87.97
22.92	58.72	1060.35	88.00	183.24	21.56	88.00
22.89	57.86	1102.32	88.05	183.17	21.11	88.05
22.83	56.78	1148.44	88.12	182.72	20.68	88.12
22.74	55.45	1198.95	88.22	181.90	20.30	88.22
22.62	53.87	1254.09	88.34	180.66	19.96	88.34
22.46	52.00	1314.09	88.48	179.00	19.67	88.48
